NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS2,UKI5,Outer London - East and North East,17346,17787,18697,19976,21245,21913,22873,23910,24966,25837,27815,28933,29338,30330,30991,33165,34499,36084,38791,40331,41285,43443
NUTS3,UKI51,Bexley and Greenwich,5453,5505,5765,6109,6435,6618,6883,7175,7444,7695,8206,8475,8581,8866,9017,9536,9898,10410,11038,11602,11902,12567
NUTS3,UKI52,Barking & Dagenham and Havering,3954,4090,4313,4594,4898,5049,5278,5505,5727,5899,6343,6605,6716,6923,7086,7580,7881,8154,8700,9061,9205,9712
NUTS3,UKI53,Redbridge and Waltham Forest,5014,5155,5429,5811,6213,6452,6747,7067,7411,7694,8316,8655,8780,9123,9350,10086,10527,11013,12020,12408,12874,13607
NUTS3,UKI54,Enfield,2925,3036,3189,3463,3699,3793,3965,4163,4384,4550,4950,5197,5261,5418,5539,5963,6193,6507,7033,7260,7304,7557
NUTS2,UKI6,Outer London - South,14574,15090,16108,17424,18087,18548,19478,20613,21762,22497,24015,24660,24499,25229,25920,27736,29078,30164,32279,33131,33376,35336
NUTS3,UKI61,Bromley,4075,4222,4501,4838,5000,5119,5394,5726,6042,6249,6634,6769,6688,6871,7080,7585,7883,8320,8921,9157,9302,9771
NUTS3,UKI62,Croydon,3380,3532,3791,4127,4356,4513,4779,5077,5369,5563,5988,6176,6206,6379,6593,7053,7391,7598,8150,8383,8588,9155
NUTS3,UKI63,"Merton, Kingston upon Thames and Sutton",7119,7336,7816,8459,8731,8916,9305,9809,10351,10685,11393,11715,11605,11979,12247,13099,13804,14246,15208,15591,15486,16410
NUTS2,UKI7,Outer London - West and North West,22200,23204,24809,26689,27862,28842,30151,31384,33374,34678,37277,38883,39117,40641,41609,44813,47549,50117,54286,55474,56356,59269
NUTS3,UKI71,Barnet,3845,4112,4394,4804,5020,5206,5470,5734,6154,6432,6978,7275,7256,7572,7782,8468,8912,9558,10629,11044,11320,12088
NUTS3,UKI72,Brent,2749,2921,3152,3425,3634,3788,3957,4108,4405,4616,4997,5277,5426,5635,5809,6287,6724,7123,7654,7776,7863,8304
NUTS3,UKI73,Ealing,3799,3934,4229,4526,4723,4890,5108,5284,5574,5748,6138,6423,6478,6764,6891,7420,7957,8403,9055,9195,9296,9653
NUTS3,UKI74,Harrow and Hillingdon,5160,5435,5831,6274,6590,6884,7261,7583,8093,8365,8992,9362,9383,9731,9967,10737,11381,11842,12752,13098,13452,14119
NUTS3,UKI75,Hounslow and Richmond upon Thames,6647,6801,7202,7661,7895,8074,8355,8675,9146,9517,10173,10546,10574,10940,11160,11901,12575,13191,14197,14361,14425,15105
NUTS1,UKJ,South East,101560,104064,108539,115846,119529,123438,125368,130547,136887,144355,152861,157507,161326,163881,167703,175420,183231,189582,201414,205743,212087,222113
NUTS2,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",28119,28820,29971,32232,33002,33982,34569,35896,37485,39929,42406,43747,44611,44957,46039,48150,50233,52289,55939,57299,59001,62161
NUTS3,UKJ11,Berkshire,10907,11165,11504,12404,12540,12882,13106,13420,14080,14809,16023,16537,16703,16840,17295,18113,19015,19614,20836,21422,21891,22846
NUTS3,UKJ12,Milton Keynes,2223,2297,2417,2598,2703,2892,2991,3178,3358,3525,3768,3939,4008,4189,4294,4429,4593,4792,5153,5321,5552,5833
NUTS3,UKJ13,Buckinghamshire CC,7112,7283,7634,8125,8481,8638,8724,9085,9465,10244,10789,11110,11415,11460,11646,12101,12570,13184,14131,14613,15143,16244
NUTS3,UKJ14,Oxfordshire,7877,8075,8416,9105,9277,9570,9747,10213,10582,11351,11826,12161,12485,12469,12804,13507,14055,14700,15820,15943,16415,17237
NUTS2,UKJ2,"Surrey, East and West Sussex",35008,36264,37879,40031,41232,42490,43046,44596,47251,50062,52788,54093,55007,56154,57423,60151,63278,65267,69354,70691,72728,76091
NUTS3,UKJ21,Brighton and Hove,2947,2992,3127,3347,3476,3619,3660,3808,4054,4159,4361,4568,4763,4800,4925,5091,5312,5490,5875,6002,6259,6516
NUTS3,UKJ22,East Sussex CC,5697,5838,6130,6488,6753,6971,7153,7370,7736,8117,8790,9100,9287,9668,9707,10050,10597,10861,11438,11844,12179,12689
NUTS3,UKJ25,West Surrey,11289,11767,12388,12933,13177,13558,13621,14084,14971,16125,16898,17207,17464,17724,18162,19166,20272,21019,22389,22565,23072,24214
NUTS3,UKJ26,East Surrey,5467,5742,6023,6316,6434,6642,6707,6939,7432,8032,8468,8645,8659,8789,9039,9544,10006,10336,11056,11188,11462,12061
NUTS3,UKJ27,West Sussex (South West),4541,4766,4917,5308,5574,5762,5879,6135,6498,6802,7138,7300,7467,7653,7896,8270,8686,8908,9526,9737,10067,10578
NUTS3,UKJ28,West Sussex (North East),5067,5160,5293,5639,5818,5938,6026,6260,6560,6828,7133,7273,7367,7521,7694,8030,8406,8652,9070,9355,9688,10032
